物件番号,日付,件名,地名地番,住居表示,構造,階数（地上）,階数（地下）,延床面積,敷地面積,建築主,建築主住所,設計者,施工者,着工,完成,備考
10097051,2025/03/31,(仮称)神戸市中央区上筒井通7丁目マンション新築工事,兵庫県神戸市中央区上筒井通7-348ほか,兵庫県神戸市中央区上筒井通7,鉄筋コンクリート造,4 階,1 階,2285.38 ㎡,976.72 ㎡,,,株式会社MRSブレイン一級建築士事務所,株式会社山田工務店,2025/03/31,2026/01/30,共同住宅
10096945,2025/03/24,神戸市標識設置情報,兵庫県神戸市兵庫区佐比江町10-5,兵庫県神戸市兵庫区佐比江町,鉄筋コンクリート造,15 階,階,2945.06 ㎡,674.68 ㎡,ウルトラエステート株式会社,大阪府大阪市中央区谷町6-10-19,株式会社ギフトプラスデザイン一級建築士事務所,スナダ建設株式会社,2025/06/15,2027/01/31,共同住宅
10096944,2025/03/24,岩屋北町PJ＊邸新築工事,兵庫県神戸市灘区岩屋北町4-5-8ほか,兵庫県神戸市灘区岩屋北町4,鉄骨造,3 階,階,935.17 ㎡,421.65 ㎡,,,旭化成ホームズ株式会社兵庫メゾン一級建築士事務所,旭化成ホームズ株式会社,2025/04/15,2026/01/29,共同住宅(物販店舗付)
10096884,2025/03/31,中央区南船場一丁目計画,大阪府大阪市中央区南船場1-57-3ほか,大阪府大阪市中央区南船場1-1,鉄骨造,13 階,階,870.49 ㎡,120.12 ㎡,,,,株式会社興栄源,2025/06/15,2026/05/31,共同住宅
10096883,2025/03/31,(仮)南船場project,大阪府大阪市中央区南船場1-62ほか,大阪府大阪市中央区南船場1-1,鉄筋コンクリート造、鉄骨造,7 階,1 階,508.42 ㎡,93.06 ㎡,,,USホーム株式会社一級建築士事務所,USホーム株式会社,2025/05/10,2026/04/30,共同住宅、物販店舗
10096881,2025/03/28,(仮称)東成区東中本2丁目計画新築工事,大阪府大阪市東成区東中本2-246-1ほか,大阪府大阪市東成区東中本2,鉄筋コンクリート造,15 階,階,2526.71 ㎡,544.57 ㎡,株式会社TAKANO ESTATE、株式会社DEVELOPMENT CLOUD、エスリード株式会社,大阪府大阪市中央区安土町1-8-15、大阪府大阪市中央区安土町1-8-15、大阪府大阪市福島区福島6-25-19,株式会社国分建築設計事務所,未定,2025/07/01,2027/02/28,共同住宅
10096880,2025/03/28,＊様共同住宅新築工事,大阪府大阪市福島区吉野4-94ほか,大阪府大阪市福島区吉野4,鉄筋コンクリート造,7 階,階,1981.43 ㎡,700.12 ㎡,,,大東建託株式会社東大阪支店一級建築士事務所,大東建託株式会社,2025/11/10,2026/12/25,共同住宅
10096879,2025/03/28,(仮称)中央区島之内2丁目プロジェクト新築工事,大阪府大阪市中央区島之内2-16-8ほか,大阪府大阪市中央区島之内2,鉄筋コンクリート造,13 階,階,1300.92 ㎡,145.97 ㎡,関西マネージメント株式会社,大阪府大阪市浪速区幸町2-3-14,株式会社アクシスアーキテクツ,未定,2025/06/01,2026/11/30,共同住宅、店舗
10096877,2025/03/26,(仮称)プレサンスレイズ阿倍野区昭和町五丁目新築工事,大阪府大阪市阿倍野区昭和町5-12-28,大阪府大阪市阿倍野区昭和町5,鉄筋コンクリート造,14 階,階,2081.9 ㎡,447.93 ㎡,株式会社プレサンスコーポレーション,大阪府大阪市中央区城見1-2-27,株式会社アイ・エー・オー田中設計,未定,2025/07/01,2027/03/31,共同住宅(分譲)
10096675,2025/03/01,神戸市標識設置情報,兵庫県神戸市兵庫区本町1-4-21ほか,兵庫県神戸市兵庫区本町1,鉄筋コンクリート造,10 階,階,1322.41 ㎡,282.5 ㎡,株式会社イー・グルーブ,兵庫県神戸市中央区多聞通3-3-15,株式会社Will建築設計事務所,未定,2025/04/01,2026/03/31,共同住宅(ワンルーム45戸)
10096673,2025/02/27,神戸市標識設置情報,兵庫県神戸市中央区北長狭通7-2-23ほか,兵庫県神戸市中央区北長狭通7,鉄筋コンクリート造,14 階,階,1843.98 ㎡,375.43 ㎡,株式会社イー・グルーブ,兵庫県神戸市中央区多聞通3-3-15,株式会社Will建築設計事務所,未定,2025/05/15,2026/09/30,共同住宅
10096775,2025/03/25,(仮称)大阪市西成区玉出中二丁目マンション新築工事,大阪府大阪市西成区玉出中2-87,大阪府大阪市西成区玉出中2,鉄筋コンクリート造,13 階,階,2672.42 ㎡,522.84 ㎡,株式会社日商エステム,大阪府大阪市中央区南船場2-9-14,楽総合計画株式会社,未定,2025/07/15,2027/03/31,共同住宅
10096774,2025/03/25,MP淀川区東三国6丁目PJ新築工事,大阪府大阪市淀川区東三国6-9-6ほか,大阪府大阪市淀川区東三国6,鉄筋コンクリート造,9 階,階,981.39 ㎡,274.86 ㎡,株式会社ミラージュパレス,大阪府大阪市西区南堀江1-19-8,株式会社阪南設計事務所,未定,2025/06/30,2026/08/31,共同住宅
10096773,2025/03/25,扇町＊マンション新築工事,大阪府大阪市北区天神橋3-16-7,大阪府大阪市北区天神橋3,鉄筋コンクリート造,7 階,階,1250.65 ㎡,315.29 ㎡,,,髙松建設株式会社大阪本店一級建築士事務所,髙松建設株式会社大阪本店,2025/07/22,2026/10/09,事務所、店舗付き共同住宅
10096770,2025/03/24,(仮称)大阪市福島区鷺洲三丁目マンション新築工事,大阪府大阪市福島区鷺洲3-7-4ほか,大阪府大阪市福島区鷺洲3丁目,鉄筋コンクリート造,10 階,階,2031.59 ㎡,454.46 ㎡,株式会社マリモ,広島県広島市西区庚午北1-17-23,楽総合計画株式会社,未定,2025/08/01,2027/01/31,店舗付共同住宅
10096769,2025/03/24,(仮称)大阪市住吉区長居東3丁目PRJ,大阪府大阪市住吉区長居東3-123-1,大阪府大阪市住吉区長居東3,鉄筋コンクリート造,10 階,階,1700 ㎡,629.1 ㎡,,,杢谷一級建築士事務所,未定,2025/06/15,2026/08/15,共同住宅
10096762,2025/03/18,神戸市標識設置情報,兵庫県神戸市灘区深田町1-1-14ほか,兵庫県神戸市灘区深田町1,鉄筋コンクリート造,6 階,階,1219.68 ㎡,674.01 ㎡,,,大建興産株式会社,未定,2025/06/01,2026/07/31,共同住宅(ファミリー19戸)
10096710,2025/03/17,(仮称)大阪市中央区瓦屋町二丁目PJ,大阪府大阪市中央区瓦屋町2-58ほか,大阪府大阪市中央区瓦屋町2丁目,鉄筋コンクリート造,9 階,階,1077.88 ㎡,217.61 ㎡,,,株式会社AR設計,未定,2025/05/15,2026/06/30,共同住宅(34戸)
10096709,2025/03/17,(仮称)浪速区大国3丁目計画新築工事,大阪府大阪市浪速区大国3-6-14ほか,大阪府大阪市浪速区大国3,鉄筋コンクリート造,10 階,階,763.04 ㎡,148.87 ㎡,,,パナソニックホームズ株式会社近畿一級建築士事務所,パナソニックホームズ株式会社近畿支社,2025/08/01,2026/11/30,共同住宅、飲食店
10096708,2025/03/14,(仮称)都島本通4丁目＊プロジェクト新築工事,大阪府大阪市都島区都島本通4-55-2,大阪府大阪市都島区都島本通4-21,鉄筋コンクリート造,8 階,階,979.84 ㎡,336.5 ㎡,,,有限会社権建築設計事務所,未定,2025/07/01,2026/07/31,共同住宅
10096704,2025/03/13,神戸市標識設置情報,兵庫県神戸市灘区友田町3-2-3,兵庫県神戸市灘区友田町3,鉄骨造,4 階,階,586.87 ㎡,265.61 ㎡,,,積水ハウス株式会社兵庫シャーメゾン支店一級建築士事務所,積水ハウス株式会社兵庫シャーメゾン支店,2025/05/30,2026/01/15,共同住宅(ファミリー11戸)
10096667,2025/03/05,神戸市標識設置情報,兵庫県神戸市北区有野中町1-5-1,兵庫県神戸市北区有野中町1,鉄骨造,4 階,階,1392.31 ㎡,639.82 ㎡,,,株式会社MRSブレイン一級建築士事務所,株式会社スマイルホーム,2025/05/31,2026/03/31,共同住宅(ファミリー6戸、ワンルーム22戸)
10096610,2025/03/12,(仮称)敷津西1丁目マンション新築工事,大阪府大阪市浪速区敷津西1-10-5,大阪府大阪市浪速区敷津西1,鉄骨造,8 階,階,715.06 ㎡,139.03 ㎡,,,株式会社T.T建築事務所,株式会社ワンズクリエーション,2025/04/21,2026/01/25,共同住宅、事務所(駐輪場・備蓄倉庫付)
10096530,2025/02/26,須磨区大田町4丁目PJ,兵庫県神戸市須磨区大田町4-16,兵庫県神戸市須磨区大田町4,鉄骨造,3 階,階,541.18 ㎡,310.68 ㎡,大和ハウス工業株式会社神戸支店,兵庫県神戸市中央区磯辺通4-2-22,大和ハウス工業株式会社神戸支店集合住宅一級建築士事務所,大和ハウス工業株式会社本店,2025/03/15,2025/09/15,共同住宅
10096512,2025/03/06,(仮称)西住之江プロジェクト,大阪府大阪市住之江区西住之江1-39-1ほか,大阪府大阪市住之江区西住之江1,鉄筋コンクリート造,9 階,階,2183.83 ㎡,621.55 ㎡,南海電気鉄道株式会社,大阪府大阪市中央区難波5-1-60,大和ハウス工業株式会社西日本中高層一級建築士事務所,大和ハウス工業株式会社本店,2025/07/18,2026/09/30,共同住宅
10096511,2025/03/05,(仮称)天王寺区大道2丁目マンションⅡ新築工事,大阪府大阪市天王寺区大道2-407,大阪府大阪市天王寺区大道2,鉄筋コンクリート造,9 階,階,1061.9 ㎡,260.18 ㎡,株式会社DOORDO,大阪府大阪市天王寺区餌差町10-65,株式会社M・I設計,未定,2025/06/01,2026/05/31,共同住宅
10096508,2025/03/03,(仮称)プレサンス西淀川区柏里二丁目新築工事,大阪府大阪市西淀川区柏里2-90,大阪府大阪市西淀川区柏里2丁目,鉄筋コンクリート造,13 階,階,1761.69 ㎡,491.64 ㎡,株式会社プレサンスコーポレーション、株式会社インザライフ,大阪府大阪市中央区城見1-2-27、大阪府大阪市北区梅田1-13-1,株式会社TKI設計,未定,2025/07/01,2027/02/28,共同住宅
10096500,2025/02/21,神戸市標識設置情報,兵庫県神戸市東灘区岡本1-140-3ほか,兵庫県神戸市東灘区岡本1-12,木造,3 階,階,600.74 ㎡,482.19 ㎡,,,住友林業株式会社住宅事業本部関西フォレストメゾン営業所一級建築士事務所,住友林業株式会社住宅事業本部アセットソリューション部,2025/03/21,2026/05/11,共同住宅
10096415,2025/02/26,(仮称)生野区新今里4丁目PJ新築工事,大阪府大阪市生野区新今里4-57-4ほか,大阪府大阪市生野区新今里4,鉄筋コンクリート造,10 階,階,1294.05 ㎡,247.97 ㎡,,,一級建築士事務所タット・プラン&T株式会社,タット・プラン工事株式会社,2025/06/02,2026/08/31,共同住宅
10096414,2025/02/25,(仮称)東成区深江南2丁目計画新築工事,大阪府大阪市東成区深江南2-3-3,大阪府大阪市東成区深江南2丁目,鉄筋コンクリート造,8 階,階,2445.55 ㎡,686.78 ㎡,株式会社メルディアDC,京都府京都市山科区椥辻中在家町8-1,株式会社アーキ・テック設計事務所,未定,2025/06/01,2026/10/30,共同住宅
10096412,2025/02/21,(仮称)プレサンス西淀川区柏里三丁目新築工事,大阪府大阪市西淀川区柏里3-37-3ほか,大阪府大阪市西淀川区柏里3丁目,鉄筋コンクリート造,14 階,階,2008.08 ㎡,444.4 ㎡,株式会社プレサンスコーポレーション,大阪府大阪市中央区城見1-2-27,株式会社生原建築事務所,未定,2025/05/01,2027/03/31,共同住宅
10096411,2025/02/19,(仮称)中央区平野町3丁目PJ新築工事,大阪府大阪市中央区平野町3-58-3ほか,大阪府大阪市中央区平野町3丁目,鉄筋コンクリート造,14 階,階,1389.69 ㎡,193.01 ㎡,,,株式会社ワイ・ジャスト一級建築士事務所,株式会社ワイ・ジャスト,2025/05/01,2027/02/28,共同住宅
10096410,2025/03/24,京都市標識設置情報,京都府京都市南区吉祥院車道町38-1ほか,京都府京都市南区吉祥院車道町,,5 階,階,1726.53 ㎡,842.07 ㎡,株式会社フル・プラス,,株式会社A-Studio一級建築士事務所,,,,共同住宅(賃貸、50戸)
10096408,2025/03/21,京都市標識設置情報,京都府京都市南区吉祥院西ノ庄西浦町82-1ほか,京都府京都市南区吉祥院西ノ庄西浦町,,4 階,階,1144.15 ㎡,835.78 ㎡,,,東建コーポレーション株式会社一級建築士事務所東名建築設計室,,,,共同住宅(賃貸、20戸)
10096407,2025/03/19,京都市標識設置情報,京都府京都市南区吉祥院中河原里南町17,京都府京都市南区吉祥院中河原里南町,,9 階,階,1619.34 ㎡,445.71 ㎡,エスリード株式会社,,株式会社アクセス都市設計,,,,共同住宅(賃貸、49戸)
10096428,2025/02/13,神戸市標識設置情報,兵庫県神戸市灘区記田町1-4-8,兵庫県神戸市灘区記田町1,鉄筋コンクリート造,10 階,階,2183.25 ㎡,632.96 ㎡,株式会社プレサンスコーポレーション、株式会社インザライフ,大阪府大阪市中央区城見1-2-27、大阪府大阪市北区梅田1-13-1,株式会社日企設計,未定,2025/04/30,2026/09/30,共同住宅(ファミリー36戸)
10096406,2025/02/13,＊様D-ROOM新築工事,兵庫県神戸市長田区松野通3-104-8,兵庫県神戸市長田区松野通3,鉄骨造,3 階,階,591.1 ㎡,446.88 ㎡,,,大和ハウス工業株式会社神戸支社集合住宅一級建築士事務所,大和ハウス工業株式会社本店,2025/04/14,2025/09/19,共同住宅
10096405,2025/02/12,神戸市標識設置情報,兵庫県神戸市垂水区旭が丘2-2244-11,兵庫県神戸市垂水区旭が丘2,鉄骨造,3 階,階,601.7 ㎡,379.68 ㎡,,,積水ハウス株式会社兵庫シャーメゾン支店一級建築士事務所,積水ハウス株式会社兵庫シャーメゾン支店,2025/05/01,2025/12/01,共同住宅(ファミリー9戸)
10096601,2025/02/12,神戸市標識設置情報,兵庫県神戸市灘区篠原北町3-61-1ほか,兵庫県神戸市灘区篠原北町3,鉄筋コンクリート造,3 階,2 階,1107.06 ㎡,516.31 ㎡,,,有限会社キアラ建築研究機関,未定,2025/07/01,2026/06/01,共同住宅(ファミリー8戸)
10096364,2025/02/18,(仮称)＊様マンション新築工事,大阪府大阪市東成区大今里西3-44-1,大阪府大阪市東成区大今里西3,鉄筋コンクリート造,10 階,階,2826.41 ㎡,800.93 ㎡,,,生和コーポレーション株式会社一級建築士事務所,生和コーポレーション株式会社,2025/07/01,2026/10/31,共同住宅
10096361,2025/02/14,(仮称)都島区都島本通4丁目新築工事,大阪府大阪市都島区都島本通4-39-5ほか,大阪府大阪市都島区都島本通4丁目,鉄筋コンクリート造,14 階,階,2049.49 ㎡,593.59 ㎡,株式会社フジヒサリアルエステート,大阪府大阪市中央区北浜3-5-22,株式会社イサラ・デザイン,未定,2025/03/31,2026/11/30,共同住宅
10096360,2025/02/14,(仮称)東野田1丁目＊ビル計画,大阪府大阪市都島区東野田町1-9-8ほか,大阪府大阪市都島区東野田町1,鉄筋コンクリート造,7 階,階,1295.85 ㎡,294.12 ㎡,,,株式会社S・A・T,栗本建設工業株式会社大阪本店,2025/04/16,2026/06/15,事務所、共同住宅
10096359,2025/02/13,(仮称)天満橋マンション新築工事,大阪府大阪市北区天満橋2-38-2,大阪府大阪市北区天満橋2-3,鉄筋コンクリート造,7 階,階,528.47 ㎡,138.61 ㎡,,,株式会社遠望建設一級建築士事務所,株式会社遠望建設,2025/06/01,2026/03/31,共同住宅
10096354,2025/03/18,京都市標識設置情報,京都府京都市中京区西ノ京北小路町20-18,京都府京都市中京区西ノ京北小路町,,6 階,階,2538.93 ㎡,1873.93 ㎡,京都市,京都府京都市中京区寺町通御池上る上本能寺前町488,株式会社三宅建築事務所,,,,共同住宅(賃貸、46戸)
10096353,2025/03/17,京都市標識設置情報,京都府京都市中京区油小路通錦小路上る山田町525,京都府京都市中京区山田町,,5 階,階,1288.69 ㎡,371.37 ㎡,株式会社フージャースコーポレーション,,株式会社アクセス都市設計,,,,共同住宅(賃貸、18戸)
10096352,2025/03/13,京都市標識設置情報,京都府京都市山科区大宅甲ノ辻町52,京都府京都市山科区大宅甲ノ辻町,,3 階,階,815.68 ㎡,626.08 ㎡,,,京都パナホーム株式会社一級建築士事務所,,,,共同住宅兼用長屋(賃貸、15戸)
10096386,2025/02/06,(仮称)中央区北長狭通5丁目新築工事,兵庫県神戸市中央区北長狭通5-3-2ほか,兵庫県神戸市中央区北長狭通5丁目,鉄筋コンクリート造,13 階,階,2026.81 ㎡,441.74 ㎡,ミサワホーム株式会社、和田興産株式会社,東京都新宿区西新宿2-4-1、兵庫県神戸市中央区栄町通4-2-13,株式会社イサラ・デザイン,未定,2025/03/25,2026/08/31,共同住宅(ワンルーム36戸、ファミリー24戸)
10096350,2025/02/06,(仮称)神戸市中央区脇浜町3丁目新築工事,兵庫県神戸市中央区脇浜町3-391,兵庫県神戸市中央区脇浜町3,鉄筋コンクリート造,13 階,階,2853.81 ㎡,631.85 ㎡,株式会社日商エステム,大阪府大阪市中央区南船場2-9-14,株式会社ヒカリエンヂニアリング一級建築士事務所,未定,2025/03/30,2027/01/30,共同住宅(ワンルーム96戸)
10096273,2025/02/10,(仮称)浪速区稲荷2丁目プロジェクト新築工事,大阪府大阪市浪速区稲荷2-6-6ほか,大阪府大阪市浪速区稲荷2,鉄筋コンクリート造,9 階,階,2508.56 ㎡,764.72 ㎡,株式会社シティトラスト不動産,大阪府大阪市西区阿波座1-15-18,生和コーポレーション株式会社一級建築士事務所,生和コーポレーション株式会社,2025/04/15,2026/07/15,共同住宅
10096265,2025/03/10,京都市標識設置情報,京都府京都市中京区壬生下溝町38-9,京都府京都市中京区壬生下溝町,,5 階,階,997.75 ㎡,451.65 ㎡,,,株式会社A-Studio一級建築士事務所,,,,共同住宅(賃貸、40戸)
10096234,2025/01/30,(仮称)神戸市東灘区甲南町4丁目計画,兵庫県神戸市東灘区甲南町4-63-10,兵庫県神戸市東灘区甲南町4-12,鉄筋コンクリート造,11 階,階,834.08 ㎡,175.48 ㎡,株式会社日商エステム,大阪府大阪市中央区南船場2-9-14,株式会社平岡建築設計室一級建築士事務所,未定,2025/03/28,2026/11/05,共同住宅(ファミリー20戸)
10096237,2025/01/30,神戸市標識設置情報,兵庫県神戸市東灘区岡本1-134-8ほか,兵庫県神戸市東灘区岡本1,木造,3 階,階,600.74 ㎡,482.19 ㎡,,,住友林業株式会社住宅事業本部関西支社一級建築士事務所,住友林業株式会社住宅事業本部関西支社,2025/03/03,2025/08/20,共同住宅(ファミリー11戸)
